Author,Text,Pro,Neutral,Cons
Crease,"14th & 15th July, Certiorari—“Chinese Regulation Act, 1884,” s. 5—Constitutionality—B.N.A. Act, 1867, ss.",0.010976427234709263,0.011514435522258282,0.9775091409683228
Crease,"91, 92—“Aliens”—“Trade and Commerce”—Taxation. 
",0.1897381991147995,0.17275859415531158,0.6375032067298889
Crease,On the return to a writ of certiorari.,0.30658769607543945,0.11557479202747345,0.5778375864028931
Crease,"Held, that the “Chinese Regulation Act, 1884,” is ultra vires of the Provincial Legislature, on the following grounds: 
1.",0.2831515967845917,0.040911540389060974,0.6759368777275085
Crease,"It is an interference with the rights of Aliens. 
",0.26586493849754333,0.18379993736743927,0.550335168838501
Crease,"It is an interference with Trade and Commerce. 
",0.2841656506061554,0.1495986133813858,0.5662357211112976
Crease,"It is an infraction of the existing treaties between the Imperial Government and China. 
",0.20320013165473938,0.08226078748703003,0.714539110660553
Crease,"It imposes unequal taxation. 

",0.26442089676856995,0.20714139938354492,0.5284377336502075
Crease,"14th & 15th July—On the return of a writ of certiorari directed to Edwin Johnson, Esquire, Police Magistrate for the City of Victoria, to return into this Court a certain conviction made by him under which one Wing Chong was fined $20 for not having in his possession a license issued under the “Chinese Regulation Act, 1884.”

",0.015851693227887154,0.012969400733709335,0.9711789488792419
Crease,The Attorney-General in support of the conviction said there were five points raised on the rule for the certiorari against the validity of the $10 tax.—1st.,0.1607879102230072,0.07484638690948486,0.7643656730651855
Crease,"That it interfered with the Dominion powers under the B. N. A. Act, aliens, and naturalization; 2nd.",0.14805695414543152,0.10917036235332489,0.7427726984024048
Crease,"That the tax was unequal, and 5th.",0.30736100673675537,0.14950349926948547,0.5431355237960815
Crease,As to the first point aliens were as much subject to taxation as citizens.,0.550952672958374,0.14149633049964905,0.3075510263442993
Crease,"Protection and taxation were reciprocal (Cooley on Taxation, p. 14).",0.16816245019435883,0.06781119853258133,0.7640263438224792
Crease,The law did not deal with the conditions under which aliens might acquire rights or become subjects of Her Majesty.,0.1484612375497818,0.31429243087768555,0.5372462868690491
Crease,Secondly—Trade and commerce were not interfered with.,0.2656502425670624,0.19876861572265625,0.5355811715126038
Crease,"The object of the Act was two-fold, the police and sanitary regulation of a numerous foreign element, and the raising of revenue necessary to meet that regulation (Hodge v. The Queen, L. R. 9, App.",0.025983506813645363,0.07841020822525024,0.8956063389778137
Crease,"If incidentally trade and commerce were touched, the provincial power of direct taxation was not impaired (Citizens Insurance Co. v. Parsons, L. R. 7 App.",0.2071150690317154,0.16970399022102356,0.6231809258460999
Crease,"The preamble and scope of the Act showed its objects were purely matters of the police and raising of revenue to meet the necessary expenditure, and within “Direct Taxation.”",0.13567759096622467,0.13620862364768982,0.7281137108802795
Crease,Thirdly—The treaty obligations of England did not affect the question.,0.20159876346588135,0.17773661017417908,0.620664656162262
Crease,"The last communication from the Secretary of State for the Colonies to the Governor-General, dated 16th May, 1884, stated, in effect, that the Colonies with responsible government could pass restrictive laws irrespective of treaties (B. C. Sessional Papers, 1885, p. 464), and instanced the legislation of the Australian Colonies and of the Dominion.",0.005029716994613409,0.028958162292838097,0.9660121202468872
Crease,"Fourthly—As to unequal taxation, the power of the Province within its jurisdiction was supreme and as plenary as that of the Imperial Parliament (R. v. Burah, L.R. 3 App.",0.0676269680261612,0.05622921884059906,0.8761438131332397
Crease,"Cas. 904; R. v. Hodge, L. R. 9, App.",0.18683582544326782,0.11200142651796341,0.7011626958847046
Crease,"Cas. 117; and Powell v. Apollo Candle Co., L.R. 10 App.",0.21071141958236694,0.11456181108951569,0.6747267842292786
Crease,"Cas., p. 290; and *In re Goodhue*, 19 Gr. 366); *Cooley* on Taxation, pp. 3, 82, 126-128, and *Cooley's Constitutional Limitations* (5th Ed.)",0.1470562368631363,0.16056612133979797,0.6923776865005493
Crease,"(2nd Ed.), p. 501; *Potter's Dwarris* 418, 421, 425; *Dow v. Black*, L. R. 6 P. C. 272, were cited as showing the power of taxation, unless abridged by the written constitution, might be exercised so as to discriminate.",0.07581277191638947,0.10976962745189667,0.8144176006317139
Crease,"The Supreme Court of Canada, in the case of *Jonas v. Gilbert*, 5 S. C. R., 356, had practically decided the same point.",0.15101954340934753,0.06077952682971954,0.7882009744644165
Crease,"Fifthly—Whether called a licence or not, the imposition was a direct poll tax, and as such came within the power of the Province to raise money by direct taxation for Provincial purposes.",0.026097938418388367,0.040342409163713455,0.9335595965385437
Crease,"*Cooley* on Taxation, 386; *Wharton's Law Lexicon*; *Reed v. Mousseau*, 8 S. C. R., 408.",0.12739458680152893,0.1452052891254425,0.7274001240730286
Crease,"It was not a license to carry on business, or a method whereby indirectly money was raised from the consumer, as, for instance, customs or stamp laws.

",0.2392747849225998,0.19452902674674988,0.5661962032318115
Crease,"*Richards*, Q. C., for Wing Chong—The object of the Act was not for police purposes or to raise revenue.",0.031452108174562454,0.01183341071009636,0.9567145109176636
