orig_index,pred_label,confidence
63,NEUTRAL,0.49188801646232605
64,POSITIVE,0.7732380032539368
66,NEUTRAL,0.5488298535346985
67,POSITIVE,0.5163532495498657
68,NEUTRAL,0.5927114486694336
69,NEUTRAL,0.6573936343193054
93,NEUTRAL,0.6848002672195435
94,POSITIVE,0.7850987911224365
95,POSITIVE,0.6370388269424438
96,NEUTRAL,0.6267120242118835
97,POSITIVE,0.8491420149803162
98,NEUTRAL,0.6245997548103333
99,NEUTRAL,0.4951064884662628
100,NEGATIVE,0.5012104511260986
101,NEUTRAL,0.7002659440040588
102,NEUTRAL,0.5691962838172913
103,NEUTRAL,0.9058416485786438
104,NEGATIVE,0.7092903852462769
105,NEUTRAL,0.83656245470047
106,POSITIVE,0.5288564562797546
107,POSITIVE,0.5689613223075867
108,NEGATIVE,0.5792080163955688
109,NEUTRAL,0.5818096399307251
110,POSITIVE,0.6977136731147766
111,POSITIVE,0.5412197113037109
112,NEUTRAL,0.8991652727127075
113,NEGATIVE,0.5079262852668762
114,NEUTRAL,0.7032102942466736
115,NEUTRAL,0.6736737489700317
116,NEUTRAL,0.5229588150978088
117,NEUTRAL,0.708267092704773
118,NEGATIVE,0.5881601572036743
119,NEUTRAL,0.7379910349845886
120,NEUTRAL,0.817074716091156
121,NEUTRAL,0.8473602533340454
122,POSITIVE,0.8949315547943115
123,NEUTRAL,0.5371695756912231
124,NEUTRAL,0.7132220268249512
125,NEUTRAL,0.519984781742096
126,NEUTRAL,0.5862299799919128
127,NEUTRAL,0.7518894076347351
128,NEUTRAL,0.5627312660217285
129,POSITIVE,0.7987197041511536
130,NEUTRAL,0.7393056154251099
131,NEUTRAL,0.8115440607070923
132,NEUTRAL,0.8955172896385193
133,NEGATIVE,0.5359913110733032
134,NEUTRAL,0.8610644936561584
135,NEUTRAL,0.5926421880722046
136,NEUTRAL,0.5610454678535461
137,NEUTRAL,0.6179131865501404
138,NEUTRAL,0.7440637350082397
139,NEUTRAL,0.5099086165428162
140,NEUTRAL,0.5016117691993713
141,NEUTRAL,0.5045238137245178
