complaint_id,product,issue,state,date_received,narrative
6675741,Credit card or prepaid card,Problem with a purchase shown on your statement,AP,2023-03-10,"Transaction date : XX/XX/22 Amount : {$250.00} I am an XXXX XXXX stationed in XXXX. While vacationing in XXXX last XXXX ( XXXX ), I purchased a beer at an establishment. They proceeded to charge my credit card for {$250.00}. The correct amount should've been {$240.00} and that is the amount I am disputing. Unfortunately, I did not notice until I had left the country so I could not raise the issue with the merchant. The credit card company XXXX XXXX XXXX, which is serviced by XXXX XXXX ) outright refuses to send me the alleged evidence they collected to arrive at their conclusion. They chose to leave me in the dark and this is unethical."
6639277,Debt collection,Communication tactics,NJ,2023-03-02,XXXX  or XXXX XXXX XXXX has now called me back to back within 2 seconds of each other 2 days in a row. Both times i answered they asked for myself and the call ended. At this point i am feeling harassed and i believe this is a violation considering both times i answered my phone and they asked for myself. This is also not including the other days that they called me this week. I am going through a hardship currently and this is just adding more and more stress with the back to back calls harassing me which is adding more stress. I attached all calls that i have gotten from XXXX XXXXXXXXXXXX XXXXXXXXtoday XX/XX/XXXXXXXX XXXX
6640655,Checking or savings account,Managing an account,NM,2023-03-02,"Deposited a XXXX XXXX XXXX XXXX for Rental Assistance I applied for under the state of New Mexico XXXX and Chase JpMorgan who I bank with collected funds is not wanting to release funds, restricted all my accounts. Provided bank documentation of what the check is for. Denied all my documents they are needing a verified number to be able to get in contact with the department. Provided multiple phone numbers from the department for them to get in contact with there is a long wait and they state they can not reach anyone. Notified me that I will not be able to access funds. I need my rental assistance funds to pay my rent Im about to get evicted. Not far and not understanding why they are holding funds when its not a fraudulent check"
6658601,Mortgage,Trouble during payment process,OH,2023-03-08,"BSI Financial has not applied one payment made my Ohio XXXX HAFS program. XXXXXXXX XXXX funds are misplaced or lost and was not applied. I spoke with XXXX and it was stated the payment was made on XX/XX/XXXX. 
XXXX HAFS program made a total of 7 months worth of payments towards my account but only six have been applied in total. XXXX, XXXX, XXXX, XXXX, XXXX, XXXX Also BSI Financial has over XXXX dollars worth of late fees on the account. They sent a letter telling me these would be removed because a 3rd party payer was making the payments. These are still on the account."
6635623,Checking or savings account,Managing an account,MA,2023-03-01,"I recently received a job offer from "" The XXXX XXXX '' to work as a data analyst on XX/XX/2023. After accepting their offer, I was asked to send over my contact information ( i.e. name, email, and phone number ) by a supervisor by the name of XXXX XXXX so they could send over to their HR department to set me up with orientation. I didn't think too much of it because I thought it was protocol. Little did I know, I started seeing fraudulent XXXX wire transfers from my primary bank account. I don't use that platform at all for money transfers. It got so bad I had to close my account and open a new one on XX/XX/2023 over the phone which took a couple hours. I filed a claim on the same day so I am waiting to see the results which can take 10 business days. I also contacted the HR of the Company by phone on XX/XX/2023 to let them know about the situation. The phone numbers for the Company are XXXX and XXXX. Below are pics I have found so far."
6655337,Mortgage,Trouble during payment process,NJ,2023-03-06,"Shellpoint has claimed to never receiving any loss mitigation documentation from Ditech or being notified of my loan being in review prior to servicing my loan. Yet, included in their last response to my complaint dated XX/XX/XXXX Shellpoint included a letter from Ditech, which stated it had received my application for loss mitigation. Unfortunately, my application was incomplete at the time, but I had until XX/XX/XXXX to submit the missing documents. I have attached the letter for your review. However, XXXX filed for Final Judgement against me on XX/XX/XXXX. How is a loan in foreclosure with a final judgement of XX/XX/XXXX, then reassigned to Shellpoint for servicing on XX/XX/XXXX? Also, if Shellpoint had no knowledge of any loss mitigation documents being received by Ditech, the previous servicer; please explain the letter included in Shellpoint answer to my complaint dated XX/XX/XXXX. The letter attached is from Ditech dated XX/XX/XXXX which clearly states, Ditech received my application for loss mitigation. They have violated the CFBP and RESPA numerous times."
6639360,Checking or savings account,Managing an account,TX,2023-03-02,"Dear honorable respected Management, For my bank of America checking accounts- I am not able to withdraw money and my auto pay stop working and got returns of many payments. 

I talked to hundreds of people on customer service phone number and also visited bank of America branches in person but no one helped me so far. 

Lots of my bill payments are past due and this is damaging my credits. I dont want to reduce my credit scores and dont want any negative records. 

Please contact bank of America urgently today and ask them to remove all restrictions. 

Please call me urgently. 

Thanks a million! 
My name : XXXX XXXX My home address : XXXX XXXX XXXX XXXX XXXX XXXX TX XXXX My Cell Phone no : XXXX"
6634868,Checking or savings account,Managing an account,OH,2023-03-01,"On XX/XX/XXXX I called Chase to report that my accounts were compromised due to a scammer, and that I wanted all withdrawals halted/account frozen. The scammer transferred {$450.00} to himself. Thats all I had in the account. The agent said they could not do that, and that I had to wait until the funds posted to file a fraudulent transaction claim. On XXXX Chase gave me a provisional credit for the funds. On XX/XX/XXXX they withdrew the money and denied my claim saying I didnt call promptly and I could not substantiate my claim. Chase claim to protect its client by providing zero liability in cases of fraud, but does not back up its claims."
6678106,Debt collection,Communication tactics,IL,2023-03-10,The XXXX XXXX  is sending me letters in the mail about a debt I do not have with them. I closed out an account with my original creditor. This XXXX XXXX calls me every day and leaves me voicemails. I do not owe them anything.
6632838,Credit card or prepaid card,Problem with a purchase shown on your statement,CA,2023-03-02,"We had to cancel a trip in XX/XX/2022. We immediately called XXXX and to cancel. They contacted the hotel. My XXXX XXXX XXXX father in law was not well. My wife is an XXXX  and has taken care of him many times. We spoke to XXXX, the resort and eventually to chase. We have all the information including the dates. We were charged in full one week ahead of our trip. Chase stated this was not correct. We have over 48 hours cancellation as that was when we arrived at my in-laws. 
We have sent every document to Chase, cancelled flights, all names, dates, calls, notes on health. Chase has insurance on their travel and since XXXX, they continue to threaten and try to charge us for the hotel. We did not and could not take the trip. They ask for the same documents over and over. They change people with each call and do not follow up. It is now 6 months and they have had no conclusion. We need immediate response from them as they are now threatening collections while they still tell us they need information. Please help! Thank you!"
6678260,Debt collection,Communication tactics,OH,2023-03-10,"this is medical debt that my insurance lapsed on. ive never had a collection company call and leave me voice messages more times than this one, literally upwards of 1,000 voice messages have been left to my phone number though this debt collector. i have contacted them asking them to stop contacting me and the XXXX operator on the end of the line said something am long lines of literally laughing before saying you owe a debt, we wont stop because you owe us, its not harassment were allowed to i have blocked this phone number more than a year ago, and ive received 20+ voicemails from their company since XXXX XXXX ive attached a screenshot of the most recent ones, i have to delete them because they have had my entire message box filled up with these debt collector messages."
6655575,Student loan,Dealing with your lender or servicer,NV,2023-03-06,"The last correspondence with CFPB. Navient stated they had no control over the situation until they got word from FAFSA. 

I was sent a letter from FAFSA on XX/XX/22, stating that the Borrower Defense Loan was discharged. And Navient would notify me of this notification and refund me of any payments made to them. 

Thus far, Navient hasn't reached out to me via email or portal to inform about this letter. But are still aggressively trying to collect payments via marketing options."
6646115,Checking or savings account,Managing an account,CO,2023-03-04,"I opened a ING Direct savings account around XXXX. At the time it maintained one of the highest interest rates available for a savings account. This account was transferred to Capital One around XXXX and became a Capital One 360 Savings account. Capital One has upheld INGs reputation of competitive interest rates since then. I checked its interest rate today and found it is 0.3 %. Capital One has a Performance Savings account which lists a 3.4 % interest rate on its website. This account appears to differ only in name from my savings account. This feels like a bait and switch. Capital One indicates they no longer offer the type of account I hold. At no point has Capital One ever communicating they were changing the status of my account, or that they were changing their account names to offer more interest elsewhere."
6627759,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,FL,2023-03-01,"It is credit reporting agencies duty and responsibility to report and furnish accurate information to a consumer file in pursuant 15 usc 1681s-2 ( b ) ( 1 ) ( D ) and make sure all items are reported accurately.. They have failed to comply with the requirements and didn't report fair, equitable and accurate data."
6695391,Student loan,Dealing with your lender or servicer,FL,2023-03-14,"XX/XX/2022 - XXXX advised me that I am eligible for PSLF based on my payment history, and in order to qualify, I would have to consolidate my loans at MOHELA. I completed the application on XX/XX/2022. 

XX/XX/2022 -- MOHELA advised via email and letter that they are my new servicer and show a total dollar amount of my loans, but no loan detail is provided. 

XX/XX/2022 -- MOHELA advises my PSLF is declined because they have not received the loan detail and payment history from the Department of Education. 

XX/XX/2022 -- I contacted MOHELA Customer Service and was advised to wait 30 days and follow up with them. 

Followed up on the following dates and still no resolution : XXXX, XXXX, XXXX, XXXX Almost all of my loans will qualify under PSLF. MOHELA needs to correct my PSLF standing and process the request accurately."
6634222,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,GA,2023-03-01,"Hyundai Motor Finance/Hyundai Capital America has falsely reported my account as 30 days late, when I am only 12 days behind. This has brought my credit score down tremendously. Could you please remove the late payment against me on my account, as I am not behind by 30 days or more. I asked for a payment deferment, as I am recovering financially from a medical emergency bill, while simultaneously relocating, and this hit to my credit score will greatly hinder my chances of getting approved for a new lease. Please update my account to reflect my fair and accurate account history to XXXX, XXXX and XXXX."
6656966,Mortgage,Trouble during payment process,IA,2023-03-06,"On XX/XX/XXXX I called for loan level information which included my loan number. US Bank despite asking for my name, address, zip code, telephone number, full social security number, they refused to provide the loan number over the phone. They also refused to send me a statement via email as they required an additional piece of information which was a card number which I did not have. When asked to speak with a manager the team member told me that they wouldn't be able to help me, and I had to advise the team member that refusing to allow me to speak to manager could be illegal. I did speak with a manager who advised me that a new statement would be mailed to me on XX/XX/XXXX but I still could not receive the loan number any other way. 

US Bank continued to encourage me to setup an online account however each time I did that it would error out. They've made it incredibly difficult for me to not only to access my loan but also difficult to pay my loan."
6707148,Student loan,Dealing with your lender or servicer,TX,2023-03-16,I filed bankruptcy years ago and my private student loan was discharged but Navient said no student loan could be discharged ( not even private ) and ignored the discharge continued collections for many years later I was forced to make a lump sum large payment settlement of I believe XXXX dollars after already discharged years before due to ongoing collection activity
6653269,Mortgage,Trouble during payment process,NC,2023-03-07,"I auto pay through my bank. The checks are sent on the XXXX XXXX XXXX of the month. NewRez mortgage doesn't cash my check ontime and I have had several late fees. I now send the check on the XXXX the month prior and the check usually clears by the XXXX. 

I believe this is intentional to charge late fees. 

My 2nd complaint is the escrow dropped my wind and hail. I found out it had lapsed so I added wind and hail insurance through XXXX. Now the mortgage company wants to charge me retro fees for the lapse, going backwards for the entire year."
6632563,Checking or savings account,Managing an account,FL,2023-03-02,"For the Month of XXXX, 2022, I was late making a payment on a new Regions Bank credit card that didn't show on my Region 's account online. The credit card was in my name and ended in "" XXXX ''. After contacting Regions, they stated that even though my name was on the card, because this account was "" Joint '', only my mother could access the account for making payments. They went on to say that there was nothing more they could do regarding the credit mark. The amount owed was around {$1000.00}, and was paid off the following month."
6668175,Debt collection,Communication tactics,FL,2023-03-08,"Sent a response to Transunion regarding my consumer credit file, I noticed there was no prior full investigation, I requested Transunion to update consumer file and remove all delinquencies and update consumer file as I saw on my consumer file. 

Transunion has inserted a derogatory remark which violates 15 U.S. Code 1692e - False or misleading representations ( 8 ) Communicating or threatening to communicate to any person credit information which is known or which should be known to be false, including the failure to communicate that a disputed debt is disputed."
6647705,Mortgage,Trouble during payment process,CA,2023-03-04,"I have a mortgage with Rocket MortgageXXXX XX/XX/XXXX I was mailed an escrow review. I was advised that is I paid XXXX by XX/XX/XXXX my payment would increase to {$1700.00}. I paid the XXXX. When I got the XXXX XXXX it stated the my payment was {$1700.00}, mind you the XXXX I paid did appear on that statement. 

When I asked about this I was told the my payment is actually {$1700.00} and I should always verify my payment on the website. This is odd, why the extra step? Shouldn't my statement be correct, the extra escrow payment I was was on the incorrect statement. 

I spoke with the Rocket Mortgage rep on the chat function and when I mentioned the CFPB is disconnected the chat. 

I believe that XXXX Mortgages practice of account recored is flawed and needs a review. 
I want in writing what my mortgage payment is as next time maybe they will refer me somewhere else and I don't want to short pay again."
6643392,Checking or savings account,Managing an account,AL,2023-03-03,"XX/XX/23 PNC Bank closed my Smart Access checking account. XX/XX/23 US TREASURY attempted to deposit an SSA payment for XXXX into a closed account. PNC bank did not return the payment to the US TREASURY because they stated the Smart Access account was closed onXXXX/23. As of XX/XX/23 neither the US TREASURY or PNC bank has resolved the issue by returning the funds to XXXX XXXX XXXX in which the I am entitled to since the payment is due to myself. I've been going back and forth with both the bank and social security in which I'm still waiting a whole 30 days for this to occur and it has not happened. I really need my monthly payment due to the hardship it has caused me, I'm currently living in a homeless shelter without any recourse since both companies involved have been less than helpful with no resolution. Please help me retrieve the funds that are owed to me as quickly as possible so someone else who needs a place to rest, eat, and sleep can utilize this service."
6627323,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,IL,2023-03-01,"I submitted a dispute with XXXX on XX/XX/2023 and the dispute came back verified and accurate with no explanation of method of verification this debt does not belong to me and I am a victim of identity theft I have no knowledge of the account AFNI, INC. that is listed on my credit report."
6627388,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,CA,2023-03-01,"TransUnion refuses to abide by the FCRA and remove unverified and unauthorized items from my credit file. This is a Defamation of my character and it is affecting my ability to purchase a home from my family. 

XXXX refuses to abide by the FCRA and remove unverified and unauthorized items from my credit file. This is a Defamation of my character and it is affecting my ability to purchase a home from my family. 

on XX/XX/2022 I sent a letter to both bureaus expressing the fraudulent and unauthorized accounts that are reporting illegally to my credit file, I also asked for them to send me proof of their investigations in which they have failed to do, and I asked for them to send me proof of them validating that the debt that they are claiming I owe, with documents bearing my signature, and they still have not yet done so."
6662293,Debt collection,Communication tactics,DE,2023-03-07,On XXXX comenity Capital Bank  has called three different times from unknown ior unidentified numbers. Spoke with XXXX who would not provide an address was told stop calling and asked to transfer to a manager. XXXX was rude threading and did not transfer the call. Comenity Capital Bank is the owner of the credit card for XXXX who has filed bankruptcy.
6633724,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,VA,2023-03-01,Every month this year I have disputed old information name spelled wrong as well as affidavit of truth to go along with fraud Inquiries nothing has been done. And I dont know what else to do! Im so frustrated and Im not sure what needs to be done but I need help immediately.
6648462,Credit card or prepaid card,Problem with a purchase shown on your statement,AL,2023-03-04,"I filed a dispute for a payment I did through PayPal for an item that never showed up in the delivery timeframe it was supposed to be delivered. I contacted the merchant and informed them of the case because they refused to initiate a refund after making it clear I no longer wanted the item and informed them that it would be marked "" returned to sender '' if it was finally delivered after being stuck in limbo for over a month. PayPal gave me a resolution date of XX/XX/XXXX and I provided them with all the information requested about the transaction. Once the resolution date got closer, PayPal extended the date again and moved it to XXXX despite being told that the case was ruled in my favor and received confirmation that the merchant received the item back. Despite that, PayPal continues to give me no answer and keep telling me to check my emails for a follow up even though they have confirmed that the case was in my favor. I've repeatedly expressed that waiting any longer was not acceptable and that I just wanted my money back after confirming the merchant received the item back."
6634831,Mortgage,Trouble during payment process,FL,2023-03-01,"XXXX, 2023... Received a letter stating that we had an escrow balance of {$2500.00} and we needed to "" take action '' "" before any other changes '' Early XXXX I called and found out it was Iconic Mortgage and not XXXX XXXX who I had the mortgage with before they sold it to XXXX XXXX. The person on the phone said they wanted me to refinance and take advantage of my equity, but I refused and request my escrow be returned to me. Went through another round of the advantages of refinancing which I declined and said again just send me my money. The individual agreed. 

It's been almost 2 months with no check so I called again on XX/XX/XXXX and spoke to XXXX at Iconic. Now he said I could only access my escrowed funds if I refinanced my loan with them."
6651204,Student loan,Dealing with your lender or servicer,PA,2023-03-05,"My federal student loans were consolidated into a direct loan in XX/XX/XXXX. They were serviced by the now defunct acs. In XXXX they were then transferred to XXXX. XXXX seems to have lost any and all records of my payment history prior to them taking over servicing of the loan. These missing payments have caused me to lose out on a significant refund on my student loan payments as part of the tepslf program. I've tried numerous times to get this information and they tell me there is nothing more to do. I've reached out to XXXX, my congressman and other servicers and this problem still persists. I've been working on getting answers for nearly a year but no one can answer my question, where is the verification of my payments? Please help or direct me to someone who can! Thank you."
6639752,Credit card or prepaid card,Problem with a purchase shown on your statement,CO,2023-03-02,"On XXXX, an amount of {$72.00} was posted on my credit card from a merchant called "" XXXX XXXX ''. I contacted my bank and explained to them that service has never been provided by the merchant and I disputed the charges. The transaction was made online and the merchant should issue a voucher but no voucher has ever been received from the merchant. I contacted my bank multiple times but they seem not to take appropriate actions regarding this fraudulent charge. 
XXXX is an online marketing website which give discount for some businesses and when you made a business transaction with them, they issue you a voucher that you take to the business to get admitted. For my case, I booked a basketball game event through XXXX but they never issue me a voucher for the event. So I wasn't allow to attend the basketball game event that I paid for through XXXX because they failed to provide me with the service"
6643584,Debt collection,Communication tactics,FL,2023-03-03,ON XXXX I saw a charge off on my credit report from company Caine & Weiner i called spoke with a collector who I explained i never received any notices validation letters anything that was sent out prior to just putting a charge off on my credit she said they emailed me a settlement letter for XXXX something trying to get me to settle told her i never received that and told her I am willing to settle at {$1200.00} she said she cant do it ask for her supervisor which was the worst person I ever spoke with she was rude a bully very defensive she scream yelled at me refuse to let me talk she told me her company does not offer settlements told her that info is false her collector just told me a settlement was offered and emailed to me she became extremely upset scream called me unkindly things and refuse to talk and she hung up on me this is how progressive allow their customers to be treated being abused by a collections agency this is not right and consumers like me we need protection UPDATED NEW NUMBER XXXX XXXX XXXX
6627523,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,CA,2023-03-01,"XXXX refuses to abide by the FCRA and remove unverified and unauthorized items from my credit file. This is a Defamation of my character and it is affecting my ability to purchase a home from my family. 

Experian refuses to abide by the FCRA and remove unverified and unauthorized items from my credit file. This is a Defamation of my character and it is affecting my ability to purchase a home from my family. 

on XXXX XXXX XXXX  I sent a letter to both bureaus expressing the fraudulent and unauthorized accounts that are reporting illegally to my credit file, I also asked for them to send me proof of their investigations in which they have failed to do, and I asked for them to send me proof of them validating that the debt that they are claiming I owe, with documents bearing my signature, and they still have not yet done so."
6682820,Student loan,Dealing with your lender or servicer,NC,2023-03-12,"Heartland ESCI a federal loan servicer has allowed their security certificate to lapse exposing us borrowers to data risks. The certificate has been expired since XX/XX/2022 and even when choosing to navigate to the website without this security measure in place ( because I absolutely need to ), I am unable to as the website is down. It's no surprise their payment processing and automatic debits are still working well. I have been making payments through this whole student loan stoppage and now can't access my interest tax forms because of their failures. Can't even log into an account to stop the payments."
6627375,Debt collection,Communication tactics,AZ,2023-03-01,I called the number back because of constant calls and emails and The gentleman explained the nature of the debt which I did not recognize and I tried to say once he explained the date that on my credit file it had a different day and he got nasty and hung up. Very un-professional and need them to stop calling and emailing without my approval and only send me a letter in the mail
6647892,Debt collection,Communication tactics,TX,2023-03-04,"Southwest credit keeps calling my phone. I spoken to 7 different agents over the last year and have asked them to not contact me anymore after one young lady cussed me out and another man told me that I was being sued. Ive blocked their numbers and theyll call from a different one. 2 months ago I was at work and they called my Phone 4 times after I was silencing because I was on the phone. Its a constant constant bother. Theyll call, I answer, theyll just sit on the phone and not say anything. Theyll say a SSN after I refuse. Give addresses that I dont live at. The last number they contacted me on was XXXX"
6665424,Credit card or prepaid card,Problem with a purchase shown on your statement,CA,2023-03-08,"I have been filing four complaints against GOLDMAN SACHS BANK USA associated with four disputes on file, and every time the company provided a response that's NOT associated with the dispute IDs I provided and then they requested the complaints to be closed. Could the company provide responses that are associated with the complaints? 

My iPhone and wallet were stolen last XXXXXXXX, I've been working with the bank for all the disputes, but the bank only removed part of the unauthorized transactions from identity theft, not all of them even if they are from the same merchants and the similar dates with all other unauthorized transactions. These are the disputes that should be included in the identity theft transactions and the bank still asks me to be responsible for the balance even though I provided an identity theft victim report along with a series of police reports ( SR22-7696 ). XXXX, {$1700.00} XXXX, {$1600.00} XXXX, {$860.00} XXXX, {$1300.00} Compliant ID : XXXX XXXX XXXX XXXX"
6627453,Student loan,Dealing with your lender or servicer,CA,2023-03-01,"On XX/XX/2022 I requested a full refund on any applicable student loan payments made during the federal pause ( XXXX ), in accordance with the CARES Act. MOHELA, my student loan service provider has yet to provide any indication of the status of reimbursement and has not provided any response since the initial inquiry."
6627408,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,CA,2023-03-01,I got an alert that I was over 30 days late on my car payment which I was not. I made the payment and also have the email and screenshot to show the date paid. I would like to have the account to reflect on time. This has lowered my credit score with my XXXX  account XXXX points which has affected my gravely. The payment was authorized on XX/XX/26 which is not over 30 days past due.
6631455,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,CA,2023-03-01,"US Department of Education is in Federal violation of the Fair Credit Reporting Act. They are tarnishing my reputation and causing undue hardship for falsely and illegally reporting alleged debt much beyond 7 years old. There are 3 accounts reporting on my credit reports with a status of collections. All are listed as Acct # XXXX with balances reflecting as {$25000.00}, {$54000.00} and {$28000.00}. These accounts are from XXXX and prior. US Department of Education is providing misleading information on my consumer reports. This illegal reporting has been preventing me from being able to apply for credit to provide for my family. My credit is constantly discriminated against because of these large amounts and outdated accounts. They have illegally reported that these accounts were opened in XXXX. I have not attended any school in the last 9 years. These accounts are fraudulent and violate my consumer rights."
6634515,Credit card or prepaid card,Problem with a purchase shown on your statement,NY,2023-03-01,Hi CFPB I was a victim of indentity theft. My discovery Mastercard card information was comprised and used for the purchase of XXXX I called them when my phone and card were lost and used for fraudulent transactions without my awareness and I was credited the amount and then recharge my account after some investigation that was never provided to me and is an outrageous charge for a supposed membership
6633080,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,IL,2023-03-02,A credit card was opened in my name on XXXX I did not authorize to open. The credit card was opened under XXXX XXXX  ( XXXX ) a XXXX XXXX XXXX. I had spoken to the credit card company and they have flagged the account and closed it. I additionally spoke with the fraud department at experian credit bureau.
6655574,Debt collection,Communication tactics,SC,2023-03-06,"On XX/XX/XXXX, I received a call from MCM Midland Management LLC. I never authorized MCM to contact me, I did not give MCM this cellphone number nor the creditor whom they are trying to collect for. I do NOT wish to receive harassing phone calls to my cell number/phone. 

I repeatedly receives phone calls before XXXX XXXX  and after XXXX XXXX, I receives repeated calls throughout the day, I have asked them to stop calling the cellphone but they continue to call. 

This is a new cell phone number. I did not give MCM this cell number nor gave them authorization to call this cell phone number. 

On XX/XX/XXXX, I asked the Representative where she was calling from '? She played games on the phone not wanting to tell me MCM is Midland Management. When I asked her, "" What was MCM contact number ''? She gave me my cell phone number saying it fast so I couldn't understand what numbers she was calling out. Then I realized it was my cellphone number. This is NOT a game. I want the harassing phone calls to STOP. 


MCM can't prove that I own the debt that they care calling about."
