filename,page,group,era
page188_img01_photo13.jpg,188,SOUNION GROUP,615 - 590 BC
page196_img01_photo5.jpg,196,SOUNION GROUP,615 - 590 BC
page200_img01_photo7.jpg,200,SOUNION GROUP,615 - 590 BC
page202_img01_photo3.jpg,202,SOUNION GROUP,615 - 590 BC
page202_img01_photo4.jpg,202,SOUNION GROUP,615 - 590 BC
page207_img01_photo13.jpg,207,SOUNION GROUP,615 - 590 BC
page210_img01_photo12.jpg,210,SOUNION GROUP,615 - 590 BC
page211_img01_photo10.jpg,211,SOUNION GROUP,615 - 590 BC
page212_img01_photo4.jpg,212,SOUNION GROUP,615 - 590 BC
page213_img01_photo9.jpg,213,SOUNION GROUP,615 - 590 BC
page216_img01_photo2.jpg,216,ORCHOMENOS-THERA GROUP,590 - 570 BC
page222_img01_photo3.jpg,222,ORCHOMENOS-THERA GROUP,590 - 570 BC
page223_img01_photo3.jpg,223,ORCHOMENOS-THERA GROUP,590 - 570 BC
page223_img01_photo8.jpg,223,ORCHOMENOS-THERA GROUP,590 - 570 BC
page224_img01_photo4.jpg,224,ORCHOMENOS-THERA GROUP,590 - 570 BC
page224_img01_photo7.jpg,224,ORCHOMENOS-THERA GROUP,590 - 570 BC
page227_img01_photo5.jpg,227,ORCHOMENOS-THERA GROUP,590 - 570 BC
page231_img01_photo11.jpg,231,ORCHOMENOS-THERA GROUP,590 - 570 BC
page232_img01_photo3.jpg,232,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page234_img01_photo5.jpg,234,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page235_img01_photo2.jpg,235,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page235_img01_photo6.jpg,235,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page236_img01_photo6.jpg,236,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page237_img01_photo6.jpg,237,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page242_img01_photo2.jpg,242,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page243_img01_photo2.jpg,243,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page244_img01_photo5.jpg,244,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page246_img01_photo3.jpg,246,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page247_img01_photo3.jpg,247,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page247_img01_photo5.jpg,247,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page250_img01_photo2.jpg,250,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page250_img01_photo8.jpg,250,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page251_img01_photo12.jpg,251,TENEA-VOLOMANDRA GROUP,575 - 550 BC
page252_img01_photo6.jpg,252,MELOS GROUP,555 - 540 BC
page254_img01_photo8.jpg,254,MELOS GROUP,555 - 540 BC
page258_img01_photo5.jpg,258,MELOS GROUP,555 - 540 BC
