Pro,Neutral,Cons
0.015068668872117996,0.06846272200345993,0.916468620300293
0.0021755110938102007,0.022536905482411385,0.9752875566482544
0.10096337646245956,0.1244298666715622,0.7746067643165588
0.011217744089663029,0.184886634349823,0.8038955926895142
0.0033090044744312763,0.022879498079419136,0.9738115072250366
0.0013761144364252687,0.005063198506832123,0.9935606718063354
0.008100424893200397,0.7421079277992249,0.2497917115688324
0.4303787052631378,0.2675873041152954,0.3020339906215668
0.011606911197304726,0.1876922845840454,0.8007007837295532
0.005314014386385679,0.0842694491147995,0.9104165434837341
0.42498672008514404,0.3877113461494446,0.18730193376541138
0.01429999154061079,0.6622930765151978,0.3234069347381592
0.01096220314502716,0.6602362990379333,0.3288014829158783
0.007254782132804394,0.009517624042928219,0.983227550983429
0.006697568576782942,0.04249561205506325,0.9508067965507507
0.17839433252811432,0.6728424429893494,0.14876320958137512
0.0028708712197840214,0.03507698327302933,0.9620521664619446
0.0065659647807478905,0.24773560464382172,0.7456984519958496
0.19601793587207794,0.1281130611896515,0.6758689880371094
0.006725085433572531,0.7241828441619873,0.2690921127796173
0.01230222824960947,0.5200479626655579,0.4676498770713806
0.007505727466195822,0.03782059624791145,0.9546736478805542
0.00943705067038536,0.11067052185535431,0.8798924088478088
0.007881000638008118,0.10879386961460114,0.8833250999450684
0.014879775233566761,0.2747931182384491,0.7103270888328552
0.014584027230739594,0.012670822441577911,0.9727451801300049
0.019281188026070595,0.6850161552429199,0.2957026958465576
0.010438364930450916,0.02670741081237793,0.9628542065620422
0.006511101499199867,0.17176936566829681,0.8217195272445679
0.017315488308668137,0.8887115716934204,0.09397301077842712
0.016746267676353455,0.25713998079299927,0.7261137366294861
0.17114612460136414,0.7026586532592773,0.12619523704051971
0.09297493100166321,0.46303316950798035,0.44399192929267883
0.012427565641701221,0.9256202578544617,0.06195216253399849
0.00922461785376072,0.3432898223400116,0.6474855542182922
0.01578143797814846,0.72557133436203,0.25864726305007935
0.44729775190353394,0.1602695882320404,0.39243271946907043
0.009888915345072746,0.09120357781648636,0.8989075422286987
0.17002902925014496,0.22775408625602722,0.6022168397903442
0.018947018310427666,0.5805696845054626,0.40048328042030334
0.008487611077725887,0.9370242953300476,0.05448811501264572
0.019345974549651146,0.9330520033836365,0.047602009028196335
0.007541469763964415,0.7327708601951599,0.2596876621246338
0.006996005307883024,0.8497139811515808,0.14328999817371368
0.0035212503280490637,0.022038709372282028,0.9744400382041931
0.020317992195487022,0.34296131134033203,0.6367206573486328
0.29008302092552185,0.11774908006191254,0.592167854309082
0.004281865432858467,0.9428620934486389,0.05285605788230896
0.17011083662509918,0.0932130441069603,0.7366760969161987
0.004424381535500288,0.23162929713726044,0.7639464139938354
